CODE,NAME,n,CV_raw,n_yoy,mu,CV_yoy
RWA,Rwanda,24,0.108694778828074,23,0.00781110034401345,0.0823937132091401
SDN,Sudan,23,0.290717384435446,21,0.0492381156212588,0.0876876096815819
SEN,Senegal,23,0.17728480849578,21,0.0187121472704219,0.0713401195397887
SLB,Solomon Islands,23,0.0725345395038941,22,-0.000182900326210196,0.05471555457777
SLE,Sierra Leone,24,0.170903222597924,23,0.00986312061185147,0.162751885864315
SLV,El Salvador,24,0.194232329280124,23,-0.0315997722198134,0.0852602714545582
SOM,Somalia,24,0.277055793487981,23,0.0109791240964731,0.147133617795379
SRB,Serbia,24,0.261150473693885,23,0.0123548389523038,0.563815823124757
SSD,South Sudan,13,0.208667991752055,12,0.0136436263500877,0.12307322192131
STP,Sao Tome and Principe,22,0.0656330791445076,19,0.00606128793669092,0.04338778195158
SWZ,Eswatini,22,0.144074094241991,19,0.00975748353043861,0.120389179254355
SYR,Syrian Arab Republic,24,0.160168267541818,23,-0.00325350400918228,0.0976490350693932
TCD,Chad,24,0.665330934960916,23,0.0794785934488449,0.200358971993563
TGO,Togo,24,0.244610074062778,23,0.0306618972134554,0.0627581136314227
THA,Thailand,9,0.585129602686097,7,-0.0802552696264348,0.0464570972366278
TJK,Tajikistan,24,0.212950896539494,23,0.0205007990129329,0.0755359720045649
TLS,Timor-Leste,22,0.208177244434038,21,0.0208628651297835,0.148864164879684
TUN,Tunisia,24,0.141806943202679,23,-0.00894476884024157,0.0526352425315423
TZA,United Republic of Tanzania,24,0.190378268749879,23,0.0301449586476894,0.0488181080966296
UGA,Uganda,23,0.247799961920449,21,0.0389721275850383,0.0480848415118175
UKR,Ukraine,21,0.283620985826953,18,0.0104726989861922,0.165069336996187
UZB,Uzbekistan,24,0.206412745885155,23,0.0260818703498669,0.0498468722329607
VCT,Saint Vincent and the Grenadines,23,0.171280379869883,21,-0.0174673197261606,0.153339721068419
VEN,Venezuela (Bolivarian Republic of),24,0.129069070338393,23,-0.0169219714047859,0.0603593490747543
VNM,Viet Nam,24,0.0927163179556195,23,-0.0108406144050386,0.0474114800141654
VUT,Vanuatu,20,0.616085193624129,16,0.0211609787497811,0.650312106419951
YEM,Yemen,24,0.192139020395001,23,0.0162906402592837,0.16291115800894
ZAF,South Africa,24,0.0899429920891535,23,-0.00504903287108412,0.109312342635925
ZMB,Zambia,23,0.135361545923922,21,0.0200236000370759,0.0491694712912178
ZWE,Zimbabwe,24,0.165299030340126,23,0.0143243426884714,0.0880502827009518
