who_region,variable,mid_cf,mid_sq,mid_av,lo_cf,lo_sq,lo_av,hi_cf,hi_sq,hi_av,sq_txt,cf_txt,av_txt
EUR,rslt_tbn_deaths,2325.19660059709,1024.85477515906,1300.34182543803,1369.96404130742,598.443929060525,747.8319297797,3467.45940587736,1499.15256684839,2011.65919526546,"   1,020 (598 to 1,500)","     2,330 (1,370 to 3,470)","   1,300 (748 to 2,010)"
SEA,rslt_att,287399.669862659,128775.872454035,158623.797408624,194636.106302838,90492.3579296803,99545.4829055741,391745.452888362,167627.40319018,233854.994863725," 129,000 (90,500 to 168,000)","   287,000 (195,000 to 392,000)"," 159,000 (99,500 to 234,000)"
SEA,rslt_att_cost,76.9995280195051,34.1396032517398,42.8599247677653,47.6982524690818,21.5698037426398,25.1095774390879,114.912299619332,49.0967217445697,67.5772240268679,     34 (22 to 49),        77 (48 to 115),     43 (25 to 68)
SEA,rslt_attm,21376.466933139,4390.13365199362,16986.3332811454,11810.4215748822,2442.70432505855,9305.68814364592,34635.8923205406,7054.47873355217,27691.7359524466,"   4,390 (2,440 to 7,050)","    21,400 (11,800 to 34,600)","  17,000 (9,310 to 27,700)"
SEA,rslt_attn,266023.20292952,124385.738802042,141637.464127479,178856.521082108,87170.4592182548,87144.3988043992,364368.433318326,162125.699359976,213289.002232716," 124,000 (87,200 to 162,000)","   266,000 (179,000 to 364,000)"," 142,000 (87,100 to 213,000)"
SEA,rslt_bcg_doses,0,149.22069199,-149.22069199,0,149.22069199,-149.22069199,0,149.22069199,-149.22069199,    149 (149 to 149),         0 (0 to 0),   -149 (-149 to -149)
SEA,rslt_cost,76.9995280195051,247.421162743045,-170.42163472354,47.6982524690818,129.430998402912,-370.568534141251,114.912299619332,446.379124854479,-51.31317348858,    247 (129 to 446),        77 (48 to 115),   -170 (-371 to -51)
SEA,rslt_health,4887.05611725889,4892.53100407513,-5.47488681623699,4883.40551969551,4891.16975223062,-8.03729628675517,4890.35441898806,4893.88352738789,-3.4023090549081,"   4,890 (4,890 to 4,890)","     4,890 (4,880 to 4,890)",     -5.5 (-8 to -3.4)
SEA,rslt_inc,674750.798451522,299267.292551194,375483.505900328,450347.527446639,205435.925929937,236313.572612031,921777.675597236,394336.685389575,550174.689183594," 299,000 (205,000 to 394,000)","   675,000 (450,000 to 922,000)"," 375,000 (236,000 to 550,000)"
SEA,rslt_ly_tb,10319525.8068862,4726240.07070169,5593285.73618451,6938659.17249782,3283681.90111241,3512830.38832971,14068390.9400476,6186446.26887764,8240951.57719804,"4,730,000 (3,280,000 to 6,190,000)","10,300,000 (6,940,000 to 14,100,000)","5,590,000 (3,510,000 to 8,240,000)"
SEA,rslt_ly_tbm,265187.509256788,54397.5117953696,210789.997461418,146696.086209953,30330.4643985364,115572.494926288,429557.958938157,87377.2099899268,343444.723128889,"  54,400 (30,300 to 87,400)","   265,000 (147,000 to 430,000)"," 211,000 (116,000 to 343,000)"
SEA,rslt_ly_tbn,10054338.2976294,4671842.55890632,5382495.7387231,6769230.91525823,3242908.71982946,3353511.17870753,13744806.3801449,6124730.23983485,7992232.80550934,"4,670,000 (3,240,000 to 6,120,000)","10,100,000 (6,770,000 to 13,700,000)","5,380,000 (3,350,000 to 7,990,000)"
SEA,rslt_tb_deaths,195183.351528956,80819.6401156845,114363.711413271,124029.278192506,51749.6629219995,69316.6356497902,273898.166956118,109140.729321917,170294.060652033,"  80,800 (51,700 to 109,000)","   195,000 (124,000 to 274,000)"," 114,000 (69,300 to 170,000)"
SEA,rslt_tbm_deaths,34477.0065054275,6653.60097435531,27823.4055310722,19204.2566030971,3717.24988236511,15397.5880789502,55871.3020220381,10730.5403405282,45349.6831379136,"   6,650 (3,720 to 10,700)","    34,500 (19,200 to 55,900)","  27,800 (15,400 to 45,300)"
